n,n_days,n_bins,n_hi,n_lo,q_hi_mean,q_lo_mean,spread,spread_lo95,spread_hi95,spearman,spearman_lo95,spearman_hi95,p_boot,population,factor,outcome,nq,is_spread,is_n,oos_spread,oos_lo95,oos_hi95,oos_n,oos_sign_agrees,split_date,q_value
1356,69,3,440,455,0.025,0.024175824175824177,0.0008241758241758247,-0.0257131798512801,0.030528374430852913,-0.005642203773922828,-0.07275380105956075,0.05975420504429521,0.964,P2_no_universe_allowlist,f_prior_cnt,y_orion_pess,3,-0.0070174216634597796,1038.0,0.019634703196347032,-0.030445316105214584,0.11295418739635155,318.0,False,2026-05-14,
359,27,3,118,120,-0.0021883946447877715,-0.0015503612356464183,-0.0006380334091413533,-0.015899632295566957,0.014624233565283612,-0.04520258119374891,-0.20073359829224297,0.09185988200132351,1.0,P2_no_universe_allowlist,f_prior_cnt,y_und_return_1d,3,,,,,,,,,
3633,78,5,727,727,0.1939477303988996,0.16368638239339753,0.030261348005502064,-0.018975769944532477,0.09646612172614762,0.019376082798729256,-0.02355617059473404,0.06723719313064015,0.26,P3_no_premium_floor,f_prior_flow,y_tp,5,0.036395147313691534,2885.0,0.06525735294117646,-0.11376140871847681,0.20090754927414345,748.0,True,2026-05-21,
3633,78,5,727,727,-0.007594936821144944,-0.0222707368896182,0.014675800068473258,-0.02092378711274055,0.05635808046171459,0.010609754802087753,-0.02955385613773527,0.045815120742087594,0.446,P3_no_premium_floor,f_prior_flow,y_ret,5,0.020512034703430944,2885.0,0.010705450780049617,-0.0625570045315036,0.18482395266794327,748.0,True,2026-05-21,
3633,78,5,727,727,0.024759284731774415,0.013755158184319119,0.011004126547455296,-0.002287068707136677,0.025307483224807883,0.02841471712156385,0.0022641434955231543,0.05586546997597937,0.106,P3_no_premium_floor,f_prior_flow,y_orion_pess,5,0.0069324090121317145,2885.0,0.04411764705882353,0.0,0.17391304347826086,748.0,True,2026-05-21,
765,32,5,153,154,0.005643109172442722,0.0015352557859538332,0.0041078533864888885,-0.025168715107850542,0.017738435630310863,0.018593610056118974,-0.09965767327386817,0.14344529154077446,0.806,P3_no_premium_floor,f_prior_flow,y_und_return_1d,5,0.005840950316903775,632.0,-0.013762238995576413,-0.04989379472234885,0.004981686174623853,133.0,False,2026-05-21,
309,15,5,62,62,-0.004672358823003486,0.010798289640046983,-0.01547064846305047,-0.04069081720531141,0.0035369783099808046,-0.1299160867553527,-0.27567500561907865,0.030013043669166153,0.14621932899349024,P3_no_premium_floor,f_prior_flow,y_und_return_5d,5,,,,,,,,,
3633,78,5,727,727,0.16506189821182943,0.17606602475928473,-0.011004126547455306,-0.061193674159130025,0.05064263160976404,-0.004622337823268913,-0.05038538439205788,0.049354247274762,0.655,P3_no_premium_floor,f_prior_flow_align,y_tp,5,-0.008665511265164627,2885.0,-0.07472384665367121,-0.2706030909631612,0.09094405594405593,748.0,True,2026-05-21,
3633,78,5,727,727,-0.010307827610782416,-0.03151008430977769,0.021202256698995274,-0.02250713343197245,0.06260633205720836,0.02347240893765892,-0.03195596386153823,0.0744642966006974,0.375,P3_no_premium_floor,f_prior_flow_align,y_ret,5,0.03157001553130393,2885.0,-0.043957705705932874,-0.15606851790080326,0.0988704259269044,748.0,False,2026-05-21,
3633,78,5,727,727,0.024759284731774415,0.013755158184319119,0.011004126547455296,-0.0027332905646006056,0.026914102241800193,0.026372305389929664,-0.008952254114440285,0.059348962841566044,0.117,P3_no_premium_floor,f_prior_flow_align,y_orion_pess,5,0.015597920277296359,2885.0,-0.022742040285899934,-0.09718684025334272,0.03061616954474097,748.0,False,2026-05-21,
765,32,5,153,153,0.005849038243306782,-0.0011804514857826549,0.007029489729089436,-0.0005972813114534684,0.035039608714636246,0.06011664455063258,0.012008794641984455,0.1809185328281845,0.077,P3_no_premium_floor,f_prior_flow_align,y_und_return_1d,5,0.0037193337335434022,632.0,0.05038052243288539,0.015890248279075866,0.10723070359341075,133.0,True,2026-05-21,
309,15,5,62,62,0.0010669843416956273,0.005680848884877395,-0.004613864543181767,-0.023533307991521733,0.01447070954495077,0.015728180124606188,-0.15174326347609973,0.13771179345940282,0.6656641604010025,P3_no_premium_floor,f_prior_flow_align,y_und_return_5d,5,,,,,,,,,
3633,78,5,707,916,0.16124469589816123,0.18995633187772926,-0.028711635979568023,-0.10116516958079182,0.03644880857682824,-0.019400596149039516,-0.07999014030987577,0.02967558900890217,0.436,P3_no_premium_floor,f_prior_cnt,y_tp,5,-0.05728116175877371,2885.0,0.02067669172932332,-0.04895372543709188,0.08791666666666673,748.0,False,2026-05-21,
3633,78,5,707,916,-0.029499827378809802,-0.013094571157834977,-0.016405256220974825,-0.062089273966472604,0.035399912697301035,-0.014679196864581159,-0.09079970403766872,0.0478519380727022,0.539,P3_no_premium_floor,f_prior_cnt,y_ret,5,-0.03231942621107148,2885.0,0.06128327722385961,-0.006860539972786435,0.43685814987504296,748.0,False,2026-05-21,
3633,78,5,707,916,0.018387553041018388,0.018558951965065504,-0.0001713989240471163,-0.015302458493699466,0.015242798644923967,0.0008732124979177611,-0.03490481770050619,0.03655043243113693,1.0,P3_no_premium_floor,f_prior_cnt,y_orion_pess,5,-0.010563735377168211,2885.0,0.022556390977443608,-0.01937682127246236,0.2333211969507339,748.0,False,2026-05-21,
765,32,5,148,161,0.002494240325685966,0.003980209444524687,-0.0014859691188387212,-0.021146301351835317,0.009886452627164621,0.04377761395459827,-0.07082412349101423,0.18806787020551113,0.9328621908127208,P3_no_premium_floor,f_prior_cnt,y_und_return_1d,5,0.0023221331113922566,632.0,,-0.0940930084353941,-0.04924964517427228,133.0,False,2026-05-21,
309,15,5,60,66,0.012491234300366241,0.01006739708387419,0.0024238372164920516,-0.036825993034996986,0.035820228285959814,0.053977462253100426,-0.0672166977755258,0.1610058921375042,1.0,P3_no_premium_floor,f_prior_cnt,y_und_return_5d,5,,,,,,,,,
6086,85,5,1217,1218,0.1372226787181594,0.10837438423645321,0.0288482944817062,-0.005214672479008623,0.07306108665118957,0.01887685706859335,-0.015196852228638418,0.05674091228460632,0.09,P4_sweep_ask_any_dte,f_prior_flow,y_tp,5,,,,,,,,,
6086,85,5,1217,1218,-0.009190913029430531,-0.025927928424179736,0.016737015394749206,-0.004412427113125473,0.04508752710448153,0.014828923377928347,-0.015923430283903122,0.04777215483306876,0.139,P4_sweep_ask_any_dte,f_prior_flow,y_ret,5,,,,,,,,,
6086,85,5,1217,1218,0.014790468364831553,0.010673234811165846,0.004117233553665707,-0.005346505820776779,0.012574391961052396,0.015227953415150765,-0.006017496631273685,0.03815094879719386,0.335,P4_sweep_ask_any_dte,f_prior_flow,y_orion_pess,5,,,,,,,,,
1373,39,5,275,275,0.005316539358312925,0.0029815544926844895,0.0023349848656284353,-0.012865742927015868,0.017266050065080394,-0.011871147675937187,-0.09935903301732911,0.11210284409108723,0.841,P4_sweep_ask_any_dte,f_prior_flow,y_und_return_1d,5,,,,,,,,,
613,15,5,123,123,-0.0020815670025869167,0.0066952930238458885,-0.008776860026432805,-0.03568550590085672,0.012913951959201699,-0.06008624893274771,-0.19572565151051136,0.07872571974368778,0.5052526263131566,P4_sweep_ask_any_dte,f_prior_flow,y_und_return_5d,5,,,,,,,,,
6086,85,5,1217,1218,0.1199671322925226,0.1206896551724138,-0.0007225228798912048,-0.03258181774890583,0.03378669499963379,-0.0016844754400427953,-0.0361694549183639,0.036679011208187666,0.919,P4_sweep_ask_any_dte,f_prior_flow_align,y_tp,5,,,,,,,,,
6086,85,5,1217,1218,-0.010278331704789657,-0.028850453798045943,0.018572122093256288,-0.013757666605310321,0.05166376406794343,0.01984441626091077,-0.04128929292910676,0.07771945891058471,0.3,P4_sweep_ask_any_dte,f_prior_flow_align,y_ret,5,,,,,,,,,
6086,85,5,1217,1218,0.014790468364831553,0.009852216748768473,0.00493825161606308,-0.003490981547310768,0.01462559588205007,0.009200927486272138,-0.01795799503396413,0.0346489736588723,0.263,P4_sweep_ask_any_dte,f_prior_flow_align,y_orion_pess,5,,,,,,,,,
1373,39,5,275,275,0.0061105260740296555,0.0018612448522926138,0.004249281221737042,-0.0020189806194419162,0.01869777888757412,0.015567839347547928,-0.03105720798498195,0.09281210182803754,0.18,P4_sweep_ask_any_dte,f_prior_flow_align,y_und_return_1d,5,,,,,,,,,
613,15,5,123,123,0.009132339869931554,-0.0028816818279192155,0.01201402169785077,-0.01115443420237236,0.04312978166841217,0.06743128288816878,-0.04530373338119706,0.1832380549688889,0.6249374061091637,P4_sweep_ask_any_dte,f_prior_flow_align,y_und_return_5d,5,,,,,,,,,
6086,85,5,1209,1561,0.11662531017369727,0.13581037796284434,-0.019185067789147067,-0.06208724761566097,0.017149938072634003,-0.013513311354245938,-0.058052450741036626,0.021251258766798,0.313,P4_sweep_ask_any_dte,f_prior_cnt,y_tp,5,,,,,,,,,
6086,85,5,1209,1561,-0.02703934527653998,-0.013409738277452968,-0.013629606999087013,-0.038806943033132445,0.017483672289842184,-0.0070059752527093545,-0.05286997321269294,0.04116145491067872,0.409,P4_sweep_ask_any_dte,f_prior_cnt,y_ret,5,,,,,,,,,
6086,85,5,1209,1561,0.010752688172043012,0.012812299807815503,-0.0020596116357724913,-0.01282404737440936,0.006657014261362905,-0.0002653356374336803,-0.027593800133951768,0.02648429847808971,0.685,P4_sweep_ask_any_dte,f_prior_cnt,y_orion_pess,5,,,,,,,,,
1373,39,5,275,300,0.004813836223781831,0.003106015249799397,0.0017078209739824339,-0.007513446119000012,0.00976851936159291,0.041805819142745296,-0.04621815750633923,0.1303285462398824,0.6098294884653962,P4_sweep_ask_any_dte,f_prior_cnt,y_und_return_1d,5,,,,,,,,,
613,15,5,119,129,0.009043261418365832,0.005525717029371521,0.0035175443889943108,-0.01581193361374323,0.025617359687816543,0.03249736766691872,-0.053968159832854905,0.11060931648533281,0.7031642390758412,P4_sweep_ask_any_dte,f_prior_cnt,y_und_return_5d,5,,,,,,,,,
55428,93,5,11086,11086,0.11924950387876601,0.1069817788201335,0.012267725058632509,0.0012260044486286942,0.02336513282575063,0.0031470337722224405,-0.009801562552781074,0.012673935542027639,0.036,P5_unfiltered_labeled,f_prior_flow,y_tp,5,,,,,,,,,
55428,93,5,11086,11086,-0.013974889143917585,-0.005459895386764667,-0.008514993757152919,-0.0226086295036278,0.006769271123809037,-0.002051872703379373,-0.016055292209587155,0.011995884228404212,0.34,P5_unfiltered_labeled,f_prior_flow,y_ret,5,,,,,,,,,
55428,93,5,11086,11086,0.011816705755006315,0.012357928919357749,-0.0005412231643514339,-0.004941400508273876,0.00288610564211123,-0.003255323903449734,-0.01581284060566076,0.008640725402694529,0.732,P5_unfiltered_labeled,f_prior_flow,y_orion_pess,5,,,,,,,,,
12307,51,5,2462,2462,0.0012462098028146876,0.0004639453987561805,0.0007822644040585071,-0.0032022239169197187,0.004879532204890575,-0.005085316112741843,-0.03620186153683848,0.044000564506455966,0.776,P5_unfiltered_labeled,f_prior_flow,y_und_return_1d,5,,,,,,,,,
5018,20,5,1004,1005,0.0003269570788330659,0.0009120052017692583,-0.0005850481229361924,-0.012364085305463799,0.014528006500321705,-0.00585892971212519,-0.07144591805969946,0.06265323785854186,0.896,P5_unfiltered_labeled,f_prior_flow,y_und_return_5d,5,,,,,,,,,
55428,93,5,11086,11086,0.11491971856395454,0.1123038066029226,0.002615911961031933,-0.022485574238024702,0.02111379528697397,0.0028652491907177487,-0.02071225336892098,0.02164789725624707,0.748,P5_unfiltered_labeled,f_prior_flow_align,y_tp,5,,,,,,,,,
55428,93,5,11086,11086,-0.00938960705524865,-0.00968234925057958,0.00029274219533092886,-0.026434106005616277,0.025958951381674988,0.010711023093495187,-0.030336190788443716,0.05268020606967387,0.988,P5_unfiltered_labeled,f_prior_flow_align,y_ret,5,,,,,,,,,
55428,93,5,11086,11086,0.013350171387335378,0.011004871008479163,0.0023453003788562153,-0.003247683641441427,0.007950805901140192,0.008927920955521286,-0.005023637343011173,0.02387450494735472,0.416,P5_unfiltered_labeled,f_prior_flow_align,y_orion_pess,5,,,,,,,,,
12307,51,5,2460,2462,0.0031798308054347317,-0.00010147047852076433,0.003281301283955496,0.0003725572023490004,0.008246829097872447,0.006900541013818581,-0.04164857014637646,0.05641803663231617,0.024,P5_unfiltered_labeled,f_prior_flow_align,y_und_return_1d,5,,,,,,,,,
5018,20,5,1004,1004,0.004170020068738381,-0.003472681281804607,0.007642701350542989,-0.004817174414259324,0.01856276382730456,0.021982749266406743,-0.06700794257813701,0.08545269367704193,0.224,P5_unfiltered_labeled,f_prior_flow_align,y_und_return_5d,5,,,,,,,,,
55428,93,5,10855,14129,0.11110087517273146,0.11239295066883714,-0.001292075496105688,-0.03253228464616459,0.02291611024366209,0.0023726745762079737,-0.032824632947709764,0.03214644444064628,0.82,P5_unfiltered_labeled,f_prior_cnt,y_tp,5,,,,,,,,,
55428,93,5,10855,14129,-0.008062780922027557,-0.008726540713142605,0.0006637597911150483,-0.01752633090072951,0.018548125726777262,-0.011014691013048427,-0.036789693166292665,0.01568127790047552,1.0,P5_unfiltered_labeled,f_prior_cnt,y_ret,5,,,,,,,,,
55428,93,5,10855,14129,0.01114693689543989,0.013235190034680445,-0.002088253139240555,-0.011131789490214173,0.0048526598736006715,-0.002527067616463954,-0.0251396228016774,0.019036149073597013,0.5,P5_unfiltered_labeled,f_prior_cnt,y_orion_pess,5,,,,,,,,,
12307,51,5,2458,2489,0.00021397317770990634,0.0015822873506810588,-0.0013683141729711524,-0.006493367528560674,0.0010878886566774585,-0.025089389297306263,-0.048287483775391424,-0.004973484322971532,0.296,P5_unfiltered_labeled,f_prior_cnt,y_und_return_1d,5,,,,,,,,,
5018,20,5,978,1098,0.0014600395274547043,0.0009734039913833465,0.0004866355360713578,-0.009526037498517152,0.013858422193551136,0.01592034080950209,-0.0473333859748624,0.07415827090932972,0.856,P5_unfiltered_labeled,f_prior_cnt,y_und_return_5d,5,,,,,,,,,
